libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Autres sections NAF,0,0,None,#AAAAAA,"0,0 M€",0 aides
Commerce,29109349.00,1187.00,93,#29B6F6,"29,1 M€",1 187 aides
Industrie manufacturière,19169973.00,318.00,93,#AB47BC,"19,2 M€",318 aides
"Activités spécialisées, scientifiques et techniques",13464722.00,442.00,93,#FFA726,"13,5 M€",442 aides
Hébergement et restauration,10825101.00,803.00,93,#26A69A,"10,8 M€",803 aides
Construction,9502449.00,504.00,93,#42A5F5,"9,5 M€",504 aides
Transports et entreposage,8648587.00,162.00,93,#26C6DA,"8,6 M€",162 aides
Activités de services administratifs et de soutien,8589014.00,329.00,93,#FF7043,"8,6 M€",329 aides
Activités financières et d'assurance,6610841.00,211.00,93,#9CCC65,"6,6 M€",211 aides
Santé humaine et action sociale,6155085.00,265.00,93,#E53935,"6,2 M€",265 aides
Activités immobilières,3967838.00,357.00,93,#FFCA28,"4,0 M€",357 aides
Autres sections NAF,9759500.00,525.00,93,#AAAAAA,"9,8 M€",525 aides
Commerce,2742984.00,168.00,94,#29B6F6,"2,7 M€",168 aides
Construction,2508621.00,75.00,94,#42A5F5,"2,5 M€",75 aides
Hébergement et restauration,1496319.00,120.00,94,#26A69A,"1,5 M€",120 aides
Activités immobilières,1325499.00,59.00,94,#FFCA28,"1,3 M€",59 aides
Industrie manufacturière,1005979.00,29.00,94,#AB47BC,"1,0 M€",29 aides
"Arts, spectacles et activités récréatives",989674.00,10.00,94,#8E24AA,"1,0 M€",10 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",837421.00,8.00,94,#7E57C2,"0,8 M€",8 aides
Transports et entreposage,751760.00,18.00,94,#26C6DA,"0,8 M€",18 aides
Activités financières et d'assurance,372975.00,21.00,94,#9CCC65,"0,4 M€",21 aides
Activités de services administratifs et de soutien,372396.00,23.00,94,#FF7043,"0,4 M€",23 aides
Autres sections NAF,1273946.00,115.00,94,#AAAAAA,"1,3 M€",115 aides
Commerce,251110029.00,2046.00,11,#29B6F6,"251,1 M€",2 046 aides
Information et communication,167466798.00,748.00,11,#66BB6A,"167,5 M€",748 aides
"Activités spécialisées, scientifiques et techniques",124989121.00,2027.00,11,#FFA726,"125,0 M€",2 027 aides
Industrie manufacturière,122856822.00,545.00,11,#AB47BC,"122,9 M€",545 aides
