libelle_cat_juridique,montant,nombre,nombre_siren,reg,color,montant_fr,nombre_fr,nombre_siren_fr
Entrepreneur individuel,57960742.49,41117,11682,01,#E53935,"58,0 M€",41 117 aides,11 682 entreprises
Société à responsabilité limitée (SARL),17343650.04,10427,3067,01,#FF8F00,"17,3 M€",10 427 aides,3 067 entreprises
Société par actions simplifiée,15536968.67,9739,2572,01,#6D4C41,"15,5 M€",9 739 aides,2 572 entreprises
Autres Catégories Juridiques,2007072.85,1337,389,01,#AAAAAA,"2,0 M€",1 337 aides,389 entreprises
Entrepreneur individuel,29166915.00,21517,6714,02,#E53935,"29,2 M€",21 517 aides,6 714 entreprises
Société à responsabilité limitée (SARL),14368412.59,9161,2895,02,#FF8F00,"14,4 M€",9 161 aides,2 895 entreprises
Société par actions simplifiée,10427683.35,6623,1882,02,#6D4C41,"10,4 M€",6 623 aides,1 882 entreprises
Autres Catégories Juridiques,1169669.00,778,247,02,#AAAAAA,"1,2 M€",778 aides,247 entreprises
Entrepreneur individuel,36348411.17,18088,3597,03,#E53935,"36,3 M€",18 088 aides,3 597 entreprises
Société par actions simplifiée,13638307.02,6048,1190,03,#6D4C41,"13,6 M€",6 048 aides,1 190 entreprises
Société à responsabilité limitée (SARL),9671936.38,4226,871,03,#FF8F00,"9,7 M€",4 226 aides,871 entreprises
Autres Catégories Juridiques,1466017.23,676,139,03,#AAAAAA,"1,5 M€",676 aides,139 entreprises
Entrepreneur individuel,70786604.16,52294,17071,04,#E53935,"70,8 M€",52 294 aides,17 071 entreprises
Société à responsabilité limitée (SARL),24783847.21,16130,5836,04,#FF8F00,"24,8 M€",16 130 aides,5 836 entreprises
Société par actions simplifiée,6670353.00,4419,1492,04,#6D4C41,"6,7 M€",4 419 aides,1 492 entreprises
Autres Catégories Juridiques,2320101.75,1546,515,04,#AAAAAA,"2,3 M€",1 546 aides,515 entreprises
Entrepreneur individuel,67070464.00,30922,5246,06,#E53935,"67,1 M€",30 922 aides,5 246 entreprises
Société à responsabilité limitée (SARL),6879999.23,3131,628,06,#FF8F00,"6,9 M€",3 131 aides,628 entreprises
Société par actions simplifiée,909199.00,417,82,06,#6D4C41,"0,9 M€",417 aides,82 entreprises
Autres Catégories Juridiques,651770.00,297,56,06,#AAAAAA,"0,7 M€",297 aides,56 entreprises
Entrepreneur individuel,1013751753.86,707383,202681,11,#E53935,"1013,8 M€",707 383 aides,202 681 entreprises
Société à responsabilité limitée (SARL),490984310.76,275937,89087,11,#FF8F00,"491,0 M€",275 937 aides,89 087 entreprises
Société par actions simplifiée,461868274.60,261178,73390,11,#6D4C41,"461,9 M€",261 178 aides,73 390 entreprises
Autres Catégories Juridiques,29480721.46,16800,5153,11,#AAAAAA,"29,5 M€",16 800 aides,5 153 entreprises
Entrepreneur individuel,103534947.14,81479,30929,24,#E53935,"103,5 M€",81 479 aides,30 929 entreprises
Société à responsabilité limitée (SARL),53951659.17,34110,13120,24,#FF8F00,"54,0 M€",34 110 aides,13 120 entreprises
Société par actions simplifiée,21878224.23,13808,4896,24,#6D4C41,"21,9 M€",13 808 aides,4 896 entreprises
Autres Catégories Juridiques,6479357.03,4263,1538,24,#AAAAAA,"6,5 M€",4 263 aides,1 538 entreprises
Entrepreneur individuel,114459030.26,91571,34822,27,#E53935,"114,5 M€",91 571 aides,34 822 entreprises
Société à responsabilité limitée (SARL),61401830.75,39044,15169,27,#FF8F00,"61,4 M€",39 044 aides,15 169 entreprises
Société par actions simplifiée,22869980.34,14226,5171,27,#6D4C41,"22,9 M€",14 226 aides,5 171 entreprises
Autres Catégories Juridiques,7209976.69,4837,1805,27,#AAAAAA,"7,2 M€",4 837 aides,1 805 entreprises
Entrepreneur individuel,130104969.30,103635,39148,28,#E53935,"130,1 M€",103 635 aides,39 148 entreprises
Société à responsabilité limitée (SARL),65141561.53,41277,15841,28,#FF8F00,"65,1 M€",41 277 aides,15 841 entreprises
