libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Commerce,13948975.00,6987,2458,01,#29B6F6,"13,9 M€",6 987 aides,2 458 entreprises
Hébergement et restauration,17423470.14,6603,1527,01,#26A69A,"17,4 M€",6 603 aides,1 527 entreprises
Autres activités de services,9972320.87,5821,1752,01,#5E35B1,"10,0 M€",5 821 aides,1 752 entreprises
Construction,7634084.00,5036,2283,01,#42A5F5,"7,6 M€",5 036 aides,2 283 entreprises
"Activités spécialisées, scientifiques et techniques",5575275.22,3218,1144,01,#FFA726,"5,6 M€",3 218 aides,1 144 entreprises
"Arts, spectacles et activités récréatives",5134860.00,2961,681,01,#8E24AA,"5,1 M€",2 961 aides,681 entreprises
Santé humaine et action sociale,3821985.00,2939,1345,01,#E53935,"3,8 M€",2 939 aides,1 345 entreprises
Enseignement,3898045.00,2609,750,01,#00897B,"3,9 M€",2 609 aides,750 entreprises
Activités de services administratifs et de soutien,3143555.00,1883,654,01,#FF7043,"3,1 M€",1 883 aides,654 entreprises
Industrie manufacturière,2737969.00,1779,707,01,#AB47BC,"2,7 M€",1 779 aides,707 entreprises
Autres sections NAF,7136410.00,4307,1430,01,#AAAAAA,"7,1 M€",4 307 aides,1 430 entreprises
Commerce,8909574.00,4561,1568,02,#29B6F6,"8,9 M€",4 561 aides,1 568 entreprises
Hébergement et restauration,10393318.19,4083,965,02,#26A69A,"10,4 M€",4 083 aides,965 entreprises
Autres activités de services,6074015.00,3791,1133,02,#5E35B1,"6,1 M€",3 791 aides,1 133 entreprises
Construction,4272711.00,2834,1284,02,#42A5F5,"4,3 M€",2 834 aides,1 284 entreprises
"Arts, spectacles et activités récréatives",3783163.40,2155,425,02,#8E24AA,"3,8 M€",2 155 aides,425 entreprises
"Activités spécialisées, scientifiques et techniques",2202377.00,1371,490,02,#FFA726,"2,2 M€",1 371 aides,490 entreprises
Santé humaine et action sociale,1622111.00,1199,564,02,#E53935,"1,6 M€",1 199 aides,564 entreprises
Enseignement,1821463.00,1112,308,02,#00897B,"1,8 M€",1 112 aides,308 entreprises
Transports et entreposage,1893707.00,1099,292,02,#26C6DA,"1,9 M€",1 099 aides,292 entreprises
Industrie manufacturière,1422425.64,956,363,02,#AB47BC,"1,4 M€",956 aides,363 entreprises
Autres sections NAF,6492896.00,2731,1122,02,#AAAAAA,"6,5 M€",2 731 aides,1 122 entreprises
Commerce,9761216.00,5106,1639,03,#29B6F6,"9,8 M€",5 106 aides,1 639 entreprises
Hébergement et restauration,10390566.07,4409,986,03,#26A69A,"10,4 M€",4 409 aides,986 entreprises
Autres activités de services,5298875.00,3126,927,03,#5E35B1,"5,3 M€",3 126 aides,927 entreprises
Construction,3214445.00,2151,1017,03,#42A5F5,"3,2 M€",2 151 aides,1 017 entreprises
"Agriculture, sylviculture et pêche",2104578.00,1466,753,03,#EF5350,"2,1 M€",1 466 aides,753 entreprises
"Arts, spectacles et activités récréatives",2396506.02,1423,309,03,#8E24AA,"2,4 M€",1 423 aides,309 entreprises
Santé humaine et action sociale,1886616.00,1421,629,03,#E53935,"1,9 M€",1 421 aides,629 entreprises
"Activités spécialisées, scientifiques et techniques",2124972.00,1256,464,03,#FFA726,"2,1 M€",1 256 aides,464 entreprises
Enseignement,1589835.00,1082,276,03,#00897B,"1,6 M€",1 082 aides,276 entreprises
Industrie manufacturière,1346453.00,988,355,03,#AB47BC,"1,3 M€",988 aides,355 entreprises
Autres sections NAF,3549837.00,2242,751,03,#AAAAAA,"3,5 M€",2 242 aides,751 entreprises
Hébergement et restauration,11425136.00,4561,1076,04,#26A69A,"11,4 M€",4 561 aides,1 076 entreprises
Commerce,6637225.00,3332,1091,04,#29B6F6,"6,6 M€",3 332 aides,1 091 entreprises
Autres activités de services,3024023.00,1961,590,04,#5E35B1,"3,0 M€",1 961 aides,590 entreprises
Construction,2743636.00,1904,883,04,#42A5F5,"2,7 M€",1 904 aides,883 entreprises
Enseignement,2250903.00,1547,437,04,#00897B,"2,3 M€",1 547 aides,437 entreprises
"Arts, spectacles et activités récréatives",2060864.87,1309,292,04,#8E24AA,"2,1 M€",1 309 aides,292 entreprises
"Activités spécialisées, scientifiques et techniques",2062264.00,1147,391,04,#FFA726,"2,1 M€",1 147 aides,391 entreprises
Santé humaine et action sociale,1509467.00,1105,500,04,#E53935,"1,5 M€",1 105 aides,500 entreprises
Industrie manufacturière,1566634.00,1090,372,04,#AB47BC,"1,6 M€",1 090 aides,372 entreprises
Activités de services administratifs et de soutien,1042389.00,652,220,04,#FF7043,"1,0 M€",652 aides,220 entreprises
Autres sections NAF,2990756.00,1819,625,04,#AAAAAA,"3,0 M€",1 819 aides,625 entreprises
Enseignement,8461278.00,5593,1495,05,#00897B,"8,5 M€",5 593 aides,1 495 entreprises
Hébergement et restauration,14759485.99,5008,1175,05,#26A69A,"14,8 M€",5 008 aides,1 175 entreprises
Commerce,7038154.00,2994,947,05,#29B6F6,"7,0 M€",2 994 aides,947 entreprises
"Arts, spectacles et activités récréatives",3697766.00,2273,521,05,#8E24AA,"3,7 M€",2 273 aides,521 entreprises
Autres activités de services,2684280.00,1606,495,05,#5E35B1,"2,7 M€",1 606 aides,495 entreprises
Construction,2365069.00,1575,717,05,#42A5F5,"2,4 M€",1 575 aides,717 entreprises
"Activités spécialisées, scientifiques et techniques",3106662.00,1482,480,05,#FFA726,"3,1 M€",1 482 aides,480 entreprises
Santé humaine et action sociale,1927450.00,1413,635,05,#E53935,"1,9 M€",1 413 aides,635 entreprises
Industrie manufacturière,1417050.00,1012,363,05,#AB47BC,"1,4 M€",1 012 aides,363 entreprises
Activités de services administratifs et de soutien,1691230.00,818,248,05,#FF7043,"1,7 M€",818 aides,248 entreprises
Autres sections NAF,3503255.00,2004,685,05,#AAAAAA,"3,5 M€",2 004 aides,685 entreprises
Commerce,52995295.00,26883,8144,06,#29B6F6,"53,0 M€",26 883 aides,8 144 entreprises
Hébergement et restauration,71571854.97,24586,5329,06,#26A69A,"71,6 M€",24 586 aides,5 329 entreprises
Transports et entreposage,38296593.11,19770,3373,06,#26C6DA,"38,3 M€",19 770 aides,3 373 entreprises
Autres activités de services,27666140.52,16509,4785,06,#5E35B1,"27,7 M€",16 509 aides,4 785 entreprises
"Activités spécialisées, scientifiques et techniques",27470367.50,16095,5172,06,#FFA726,"27,5 M€",16 095 aides,5 172 entreprises
Construction,23620933.00,15303,6103,06,#42A5F5,"23,6 M€",15 303 aides,6 103 entreprises
Activités de services administratifs et de soutien,19588307.00,10784,3051,06,#FF7043,"19,6 M€",10 784 aides,3 051 entreprises
"Arts, spectacles et activités récréatives",17532352.78,9800,2020,06,#8E24AA,"17,5 M€",9 800 aides,2 020 entreprises
Activités immobilières,17234299.28,9405,2906,06,#FFCA28,"17,2 M€",9 405 aides,2 906 entreprises
Enseignement,13331958.00,9251,2301,06,#00897B,"13,3 M€",9 251 aides,2 301 entreprises
Autres sections NAF,30413269.34,20466,7709,06,#AAAAAA,"30,4 M€",20 466 aides,7 709 entreprises
Hébergement et restauration,17012942.21,7059,1680,07,#26A69A,"17,0 M€",7 059 aides,1 680 entreprises
Commerce,9524820.00,5245,1701,07,#29B6F6,"9,5 M€",5 245 aides,1 701 entreprises
Autres activités de services,5590352.00,3635,1074,07,#5E35B1,"5,6 M€",3 635 aides,1 074 entreprises
Construction,4559271.00,3077,1446,07,#42A5F5,"4,6 M€",3 077 aides,1 446 entreprises
"Arts, spectacles et activités récréatives",3790217.19,2400,520,07,#8E24AA,"3,8 M€",2 400 aides,520 entreprises
Industrie manufacturière,2612764.00,2060,684,07,#AB47BC,"2,6 M€",2 060 aides,684 entreprises
Santé humaine et action sociale,2389635.00,1899,813,07,#E53935,"2,4 M€",1 899 aides,813 entreprises
"Activités spécialisées, scientifiques et techniques",2993380.00,1887,611,07,#FFA726,"3,0 M€",1 887 aides,611 entreprises
Enseignement,2213791.00,1528,408,07,#00897B,"2,2 M€",1 528 aides,408 entreprises
Activités de services administratifs et de soutien,1796067.00,1185,394,07,#FF7043,"1,8 M€",1 185 aides,394 entreprises
Autres sections NAF,4078635.00,2628,970,07,#AAAAAA,"4,1 M€",2 628 aides,970 entreprises
Hébergement et restauration,7447783.69,3033,669,08,#26A69A,"7,4 M€",3 033 aides,669 entreprises
Commerce,5172790.00,2735,959,08,#29B6F6,"5,2 M€",2 735 aides,959 entreprises
Autres activités de services,3562546.00,2326,680,08,#5E35B1,"3,6 M€",2 326 aides,680 entreprises
Construction,2576851.00,1747,787,08,#42A5F5,"2,6 M€",1 747 aides,787 entreprises
"Arts, spectacles et activités récréatives",1279726.00,900,195,08,#8E24AA,"1,3 M€",900 aides,195 entreprises
Santé humaine et action sociale,1135284.00,822,387,08,#E53935,"1,1 M€",822 aides,387 entreprises
"Activités spécialisées, scientifiques et techniques",1397358.00,774,289,08,#FFA726,"1,4 M€",774 aides,289 entreprises
Industrie manufacturière,1098998.00,703,267,08,#AB47BC,"1,1 M€",703 aides,267 entreprises
Enseignement,897573.00,540,144,08,#00897B,"0,9 M€",540 aides,144 entreprises
Activités de services administratifs et de soutien,706567.00,446,149,08,#FF7043,"0,7 M€",446 aides,149 entreprises
Autres sections NAF,1902908.00,1191,494,08,#AAAAAA,"1,9 M€",1 191 aides,494 entreprises
Hébergement et restauration,6418924.00,2823,648,09,#26A69A,"6,4 M€",2 823 aides,648 entreprises
Commerce,4378278.00,2464,783,09,#29B6F6,"4,4 M€",2 464 aides,783 entreprises
Autres activités de services,2499949.00,1646,514,09,#5E35B1,"2,5 M€",1 646 aides,514 entreprises
Construction,2372503.00,1634,731,09,#42A5F5,"2,4 M€",1 634 aides,731 entreprises
"Arts, spectacles et activités récréatives",1841815.00,1197,251,09,#8E24AA,"1,8 M€",1 197 aides,251 entreprises
Industrie manufacturière,1164209.00,953,342,09,#AB47BC,"1,2 M€",953 aides,342 entreprises
Enseignement,1193567.00,929,270,09,#00897B,"1,2 M€",929 aides,270 entreprises
"Activités spécialisées, scientifiques et techniques",1547834.00,921,326,09,#FFA726,"1,5 M€",921 aides,326 entreprises
Santé humaine et action sociale,990952.00,794,381,09,#E53935,"1,0 M€",794 aides,381 entreprises
"Agriculture, sylviculture et pêche",904708.00,681,280,09,#EF5350,"0,9 M€",681 aides,280 entreprises
Autres sections NAF,2237684.00,1470,494,09,#AAAAAA,"2,2 M€",1 470 aides,494 entreprises
Commerce,6239168.00,3197,1102,10,#29B6F6,"6,2 M€",3 197 aides,1 102 entreprises
Hébergement et restauration,8272724.30,3186,725,10,#26A69A,"8,3 M€",3 186 aides,725 entreprises
Autres activités de services,4636458.00,2740,817,10,#5E35B1,"4,6 M€",2 740 aides,817 entreprises
"Agriculture, sylviculture et pêche",9511308.00,1966,1310,10,#EF5350,"9,5 M€",1 966 aides,1 310 entreprises
Construction,2825269.00,1853,840,10,#42A5F5,"2,8 M€",1 853 aides,840 entreprises
"Arts, spectacles et activités récréatives",2499827.08,1372,274,10,#8E24AA,"2,5 M€",1 372 aides,274 entreprises
"Activités spécialisées, scientifiques et techniques",2224720.00,1253,440,10,#FFA726,"2,2 M€",1 253 aides,440 entreprises
Santé humaine et action sociale,1447302.00,1144,498,10,#E53935,"1,4 M€",1 144 aides,498 entreprises
Industrie manufacturière,1412760.00,812,319,10,#AB47BC,"1,4 M€",812 aides,319 entreprises
Enseignement,1267097.00,756,196,10,#00897B,"1,3 M€",756 aides,196 entreprises
Autres sections NAF,3795797.00,2284,723,10,#AAAAAA,"3,8 M€",2 284 aides,723 entreprises
Hébergement et restauration,18212740.58,7681,1698,11,#26A69A,"18,2 M€",7 681 aides,1 698 entreprises
Commerce,13663760.82,7307,2327,11,#29B6F6,"13,7 M€",7 307 aides,2 327 entreprises
Autres activités de services,6049264.00,4169,1251,11,#5E35B1,"6,0 M€",4 169 aides,1 251 entreprises
Construction,6139645.00,4128,1800,11,#42A5F5,"6,1 M€",4 128 aides,1 800 entreprises
"Activités spécialisées, scientifiques et techniques",4908312.00,2667,889,11,#FFA726,"4,9 M€",2 667 aides,889 entreprises
"Arts, spectacles et activités récréatives",3463182.47,2129,473,11,#8E24AA,"3,5 M€",2 129 aides,473 entreprises
Santé humaine et action sociale,2625344.00,2083,944,11,#E53935,"2,6 M€",2 083 aides,944 entreprises
"Agriculture, sylviculture et pêche",2798772.00,1654,585,11,#EF5350,"2,8 M€",1 654 aides,585 entreprises
Activités de services administratifs et de soutien,2546803.00,1597,498,11,#FF7043,"2,5 M€",1 597 aides,498 entreprises
Enseignement,2003594.00,1514,420,11,#00897B,"2,0 M€",1 514 aides,420 entreprises
Autres sections NAF,6266665.00,4117,1401,11,#AAAAAA,"6,3 M€",4 117 aides,1 401 entreprises
Hébergement et restauration,13132698.37,5227,1172,12,#26A69A,"13,1 M€",5 227 aides,1 172 entreprises
Commerce,8462036.49,4025,1339,12,#29B6F6,"8,5 M€",4 025 aides,1 339 entreprises
Construction,4174948.00,2868,1337,12,#42A5F5,"4,2 M€",2 868 aides,1 337 entreprises
Autres activités de services,4577040.00,2846,838,12,#5E35B1,"4,6 M€",2 846 aides,838 entreprises
"Arts, spectacles et activités récréatives",2842659.00,1837,397,12,#8E24AA,"2,8 M€",1 837 aides,397 entreprises
"Activités spécialisées, scientifiques et techniques",3214786.54,1725,593,12,#FFA726,"3,2 M€",1 725 aides,593 entreprises
