libelle_section_naf,montant,nombre,nombre_siren,color,montant_fr,nombre_fr,nombre_siren_fr
Hébergement et restauration,8308385240.78,1486295,214056,#26A69A,"8308,4 M€",1 486 295 aides,214 056 entreprises
Commerce,3051333345.12,1234528,323037,#29B6F6,"3051,3 M€",1 234 528 aides,323 037 entreprises
"Activités spécialisées, scientifiques et techniques",2087501811.92,828044,208852,#FFA726,"2087,5 M€",828 044 aides,208 852 entreprises
Transports et entreposage,1896984164.49,729189,112284,#26C6DA,"1897,0 M€",729 189 aides,112 284 entreprises
Autres activités de services,1308259667.99,716155,187737,#5E35B1,"1308,3 M€",716 155 aides,187 737 entreprises
"Arts, spectacles et activités récréatives",1759721563.81,632966,102238,#8E24AA,"1759,7 M€",632 966 aides,102 238 entreprises
Construction,978154301.03,609640,226324,#42A5F5,"978,2 M€",609 640 aides,226 324 entreprises
Enseignement,768569968.76,443388,89332,#00897B,"768,6 M€",443 388 aides,89 332 entreprises
Santé humaine et action sociale,541699193.32,402624,167550,#E53935,"541,7 M€",402 624 aides,167 550 entreprises
Activités de services administratifs et de soutien,1107361238.27,362014,83249,#FF7043,"1107,4 M€",362 014 aides,83 249 entreprises
Autres sections NAF,2433173992.29,1108609,317469,#AAAAAA,"2433,2 M€",1 108 609 aides,317 469 entreprises
