libelle_section_naf,montant,nombre,nombre_siren,reg,color,montant_fr,nombre_fr,nombre_siren_fr
Hébergement et restauration,53858698.53,18961,2220,01,#26A69A,"53,9 M€",18 961 aides,2 220 entreprises
Commerce,37693603.17,17080,3336,01,#29B6F6,"37,7 M€",17 080 aides,3 336 entreprises
"Agriculture, sylviculture et pêche",25931175.95,16768,2631,01,#EF5350,"25,9 M€",16 768 aides,2 631 entreprises
Activités de services administratifs et de soutien,30351315.04,9484,1444,01,#FF7043,"30,4 M€",9 484 aides,1 444 entreprises
Construction,11783869.71,7546,2188,01,#42A5F5,"11,8 M€",7 546 aides,2 188 entreprises
Industrie manufacturière,11629795.95,5910,1238,01,#AB47BC,"11,6 M€",5 910 aides,1 238 entreprises
"Activités spécialisées, scientifiques et techniques",11640813.50,5906,1305,01,#FFA726,"11,6 M€",5 906 aides,1 305 entreprises
Autres activités de services,8222891.85,5607,1175,01,#5E35B1,"8,2 M€",5 607 aides,1 175 entreprises
Transports et entreposage,14597316.00,5113,745,01,#26C6DA,"14,6 M€",5 113 aides,745 entreprises
"Arts, spectacles et activités récréatives",13036206.94,4408,509,01,#8E24AA,"13,0 M€",4 408 aides,509 entreprises
Autres sections NAF,18696495.72,10586,2598,01,#AAAAAA,"18,7 M€",10 586 aides,2 598 entreprises
Commerce,32590472.00,12655,2286,02,#29B6F6,"32,6 M€",12 655 aides,2 286 entreprises
Hébergement et restauration,37859865.34,10070,1309,02,#26A69A,"37,9 M€",10 070 aides,1 309 entreprises
Autres activités de services,10979824.00,6047,1074,02,#5E35B1,"11,0 M€",6 047 aides,1 074 entreprises
Activités de services administratifs et de soutien,16614377.60,6039,978,02,#FF7043,"16,6 M€",6 039 aides,978 entreprises
"Activités spécialisées, scientifiques et techniques",11310948.00,5152,1134,02,#FFA726,"11,3 M€",5 152 aides,1 134 entreprises
Construction,7531065.00,4611,1387,02,#42A5F5,"7,5 M€",4 611 aides,1 387 entreprises
Transports et entreposage,10672564.22,4483,728,02,#26C6DA,"10,7 M€",4 483 aides,728 entreprises
"Agriculture, sylviculture et pêche",5745476.00,4215,786,02,#EF5350,"5,7 M€",4 215 aides,786 entreprises
Industrie manufacturière,8277028.00,4002,847,02,#AB47BC,"8,3 M€",4 002 aides,847 entreprises
"Arts, spectacles et activités récréatives",9770296.00,3284,401,02,#8E24AA,"9,8 M€",3 284 aides,401 entreprises
Autres sections NAF,15320561.00,8460,2098,02,#AAAAAA,"15,3 M€",8 460 aides,2 098 entreprises
Construction,16979611.00,7797,1114,03,#42A5F5,"17,0 M€",7 797 aides,1 114 entreprises
"Agriculture, sylviculture et pêche",12138022.00,7545,833,03,#EF5350,"12,1 M€",7 545 aides,833 entreprises
Commerce,13764812.84,6599,1002,03,#29B6F6,"13,8 M€",6 599 aides,1 002 entreprises
Hébergement et restauration,16916093.74,5443,596,03,#26A69A,"16,9 M€",5 443 aides,596 entreprises
Activités de services administratifs et de soutien,9045775.40,3260,409,03,#FF7043,"9,0 M€",3 260 aides,409 entreprises
"Activités spécialisées, scientifiques et techniques",6546547.00,2787,447,03,#FFA726,"6,5 M€",2 787 aides,447 entreprises
Industrie manufacturière,5885535.84,2735,411,03,#AB47BC,"5,9 M€",2 735 aides,411 entreprises
Transports et entreposage,10997732.60,2155,296,03,#26C6DA,"11,0 M€",2 155 aides,296 entreprises
Autres activités de services,3896766.00,2062,299,03,#5E35B1,"3,9 M€",2 062 aides,299 entreprises
"Arts, spectacles et activités récréatives",3653320.87,1231,139,03,#8E24AA,"3,7 M€",1 231 aides,139 entreprises
Autres sections NAF,7996264.51,3755,659,03,#AAAAAA,"8,0 M€",3 755 aides,659 entreprises
Commerce,39753760.00,21860,5227,04,#29B6F6,"39,8 M€",21 860 aides,5 227 entreprises
Hébergement et restauration,63647720.47,19229,2621,04,#26A69A,"63,6 M€",19 229 aides,2 621 entreprises
Construction,14235934.91,9186,3242,04,#42A5F5,"14,2 M€",9 186 aides,3 242 entreprises
"Agriculture, sylviculture et pêche",11284445.00,7882,1793,04,#EF5350,"11,3 M€",7 882 aides,1 793 entreprises
"Activités spécialisées, scientifiques et techniques",16913530.00,7404,1869,04,#FFA726,"16,9 M€",7 404 aides,1 869 entreprises
"Arts, spectacles et activités récréatives",20014966.00,7309,946,04,#8E24AA,"20,0 M€",7 309 aides,946 entreprises
Autres activités de services,9500800.55,7020,1984,04,#5E35B1,"9,5 M€",7 020 aides,1 984 entreprises
Industrie manufacturière,12825926.00,6471,1658,04,#AB47BC,"12,8 M€",6 471 aides,1 658 entreprises
