libelle_section_naf,montant,nombre,color,montant_fr,nombre_fr
Construction,227545972.00,243380.00,#42A5F5,"227,5 M€",243 380 aides
Commerce,203308710.00,253497.00,#29B6F6,"203,3 M€",253 497 aides
Hébergement et restauration,88331849.00,103182.00,#26A69A,"88,3 M€",103 182 aides
Autres activités de services,88256174.00,128837.00,#5E35B1,"88,3 M€",128 837 aides
Industrie manufacturière,80303308.00,98903.00,#AB47BC,"80,3 M€",98 903 aides
Non connu,69300247.00,64920.00,#AAAAAA,"69,3 M€",64 920 aides
Transports et entreposage,42563124.00,50178.00,#26C6DA,"42,6 M€",50 178 aides
Activités immobilières,40211485.00,42588.00,#FFCA28,"40,2 M€",42 588 aides
Activités de services administratifs et de soutien,35257209.00,54096.00,#FF7043,"35,3 M€",54 096 aides
"Activités spécialisées, scientifiques et techniques",31757336.00,49676.00,#FFA726,"31,8 M€",49 676 aides
Autres sections NAF,65053011.00,99456.00,#AAAAAA,"65,1 M€",99 456 aides
