libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Commerce,336064150.00,1374.00,63,#29B6F6,"336,1 M€",1 374 aides
Industrie manufacturière,126651172.00,536.00,63,#AB47BC,"126,7 M€",536 aides
Construction,87896636.00,917.00,63,#42A5F5,"87,9 M€",917 aides
Hébergement et restauration,84760440.00,969.00,63,#26A69A,"84,8 M€",969 aides
Activités financières et d'assurance,57072531.00,96.00,63,#9CCC65,"57,1 M€",96 aides
"Activités spécialisées, scientifiques et techniques",55401201.00,432.00,63,#FFA726,"55,4 M€",432 aides
Information et communication,35132937.00,84.00,63,#66BB6A,"35,1 M€",84 aides
Activités de services administratifs et de soutien,25415538.00,175.00,63,#FF7043,"25,4 M€",175 aides
"Arts, spectacles et activités récréatives",25337167.00,136.00,63,#8E24AA,"25,3 M€",136 aides
Santé humaine et action sociale,19388920.00,376.00,63,#E53935,"19,4 M€",376 aides
Autres sections NAF,55971037.00,850.00,63,#AAAAAA,"56,0 M€",850 aides
Industrie manufacturière,87832200.00,230.00,18,#AB47BC,"87,8 M€",230 aides
Commerce,70988040.00,476.00,18,#29B6F6,"71,0 M€",476 aides
Construction,29530190.00,334.00,18,#42A5F5,"29,5 M€",334 aides
"Activités spécialisées, scientifiques et techniques",25461776.00,111.00,18,#FFA726,"25,5 M€",111 aides
Hébergement et restauration,24411065.00,337.00,18,#26A69A,"24,4 M€",337 aides
Activités financières et d'assurance,24116800.00,27.00,18,#9CCC65,"24,1 M€",27 aides
"Agriculture, sylviculture et pêche",19979043.00,221.00,18,#EF5350,"20,0 M€",221 aides
Santé humaine et action sociale,16012176.00,151.00,18,#E53935,"16,0 M€",151 aides
Information et communication,8055299.00,24.00,18,#66BB6A,"8,1 M€",24 aides
Transports et entreposage,7745003.00,74.00,18,#26C6DA,"7,7 M€",74 aides
Autres sections NAF,16666592.00,351.00,18,#AAAAAA,"16,7 M€",351 aides
Commerce,387422106.00,1919.00,974,#29B6F6,"387,4 M€",1 919 aides
Transports et entreposage,134783106.00,303.00,974,#26C6DA,"134,8 M€",303 aides
"Activités spécialisées, scientifiques et techniques",121892011.00,531.00,974,#FFA726,"121,9 M€",531 aides
Construction,111169262.00,1076.00,974,#42A5F5,"111,2 M€",1 076 aides
Industrie manufacturière,96749005.00,655.00,974,#AB47BC,"96,7 M€",655 aides
Hébergement et restauration,60909905.00,710.00,974,#26A69A,"60,9 M€",710 aides
Activités de services administratifs et de soutien,41213053.00,300.00,974,#FF7043,"41,2 M€",300 aides
Santé humaine et action sociale,40815436.00,655.00,974,#E53935,"40,8 M€",655 aides
Activités financières et d'assurance,37629905.00,96.00,974,#9CCC65,"37,6 M€",96 aides
"Agriculture, sylviculture et pêche",24326612.00,177.00,974,#EF5350,"24,3 M€",177 aides
Autres sections NAF,75610454.00,1024.00,974,#AAAAAA,"75,6 M€",1 024 aides
Commerce,666313397.00,2374.00,78,#29B6F6,"666,3 M€",2 374 aides
Activités financières et d'assurance,358616452.00,247.00,78,#9CCC65,"358,6 M€",247 aides
"Activités spécialisées, scientifiques et techniques",297459664.00,1613.00,78,#FFA726,"297,5 M€",1 613 aides
Construction,242032288.00,1532.00,78,#42A5F5,"242,0 M€",1 532 aides
Industrie manufacturière,219300166.00,571.00,78,#AB47BC,"219,3 M€",571 aides
Hébergement et restauration,126538267.00,1249.00,78,#26A69A,"126,5 M€",1 249 aides
Activités de services administratifs et de soutien,95515904.00,546.00,78,#FF7043,"95,5 M€",546 aides
Information et communication,90079913.00,490.00,78,#66BB6A,"90,1 M€",490 aides
Santé humaine et action sociale,62724028.00,957.00,78,#E53935,"62,7 M€",957 aides
Transports et entreposage,41081488.00,598.00,78,#26C6DA,"41,1 M€",598 aides
Autres sections NAF,124052157.00,1651.00,78,#AAAAAA,"124,1 M€",1 651 aides
Industrie manufacturière,120919665.00,310.00,80,#AB47BC,"120,9 M€",310 aides
Commerce,118101271.00,827.00,80,#29B6F6,"118,1 M€",827 aides
Activités financières et d'assurance,69940080.00,50.00,80,#9CCC65,"69,9 M€",50 aides
Construction,52394557.00,476.00,80,#42A5F5,"52,4 M€",476 aides
Hébergement et restauration,47921823.00,637.00,80,#26A69A,"47,9 M€",637 aides
"Activités spécialisées, scientifiques et techniques",21436104.00,224.00,80,#FFA726,"21,4 M€",224 aides
Santé humaine et action sociale,17380123.00,279.00,80,#E53935,"17,4 M€",279 aides
"Agriculture, sylviculture et pêche",13741103.00,128.00,80,#EF5350,"13,7 M€",128 aides
Activités de services administratifs et de soutien,13110415.00,104.00,80,#FF7043,"13,1 M€",104 aides
"Arts, spectacles et activités récréatives",12682645.00,105.00,80,#8E24AA,"12,7 M€",105 aides
Autres sections NAF,43254568.00,511.00,80,#AAAAAA,"43,3 M€",511 aides
Commerce,168387097.00,807.00,2B,#29B6F6,"168,4 M€",807 aides
Transports et entreposage,62163451.00,85.00,2B,#26C6DA,"62,2 M€",85 aides
Construction,59927608.00,463.00,2B,#42A5F5,"59,9 M€",463 aides
Hébergement et restauration,59741328.00,600.00,2B,#26A69A,"59,7 M€",600 aides
Industrie manufacturière,46072494.00,195.00,2B,#AB47BC,"46,1 M€",195 aides
Activités de services administratifs et de soutien,40209970.00,105.00,2B,#FF7043,"40,2 M€",105 aides
"Activités spécialisées, scientifiques et techniques",15980481.00,198.00,2B,#FFA726,"16,0 M€",198 aides
Activités financières et d'assurance,15428100.00,30.00,2B,#9CCC65,"15,4 M€",30 aides
Santé humaine et action sociale,14519284.00,151.00,2B,#E53935,"14,5 M€",151 aides
"Agriculture, sylviculture et pêche",12356264.00,165.00,2B,#EF5350,"12,4 M€",165 aides
Autres sections NAF,20211730.00,315.00,2B,#AAAAAA,"20,2 M€",315 aides
Industrie manufacturière,87089417.00,156.00,52,#AB47BC,"87,1 M€",156 aides
Commerce,38119458.00,346.00,52,#29B6F6,"38,1 M€",346 aides
Activités financières et d'assurance,27966492.00,17.00,52,#9CCC65,"28,0 M€",17 aides
Construction,17641371.00,160.00,52,#42A5F5,"17,6 M€",160 aides
Transports et entreposage,13581762.00,38.00,52,#26C6DA,"13,6 M€",38 aides
Hébergement et restauration,10511958.00,165.00,52,#26A69A,"10,5 M€",165 aides
"Activités spécialisées, scientifiques et techniques",7764980.00,61.00,52,#FFA726,"7,8 M€",61 aides
Santé humaine et action sociale,3300655.00,74.00,52,#E53935,"3,3 M€",74 aides
"Agriculture, sylviculture et pêche",3172786.00,41.00,52,#EF5350,"3,2 M€",41 aides
Information et communication,1639012.00,11.00,52,#66BB6A,"1,6 M€",11 aides
Autres sections NAF,5859122.00,163.00,52,#AAAAAA,"5,9 M€",163 aides
Commerce,171394901.00,1167.00,40,#29B6F6,"171,4 M€",1 167 aides
Industrie manufacturière,91456446.00,346.00,40,#AB47BC,"91,5 M€",346 aides
Activités financières et d'assurance,67622870.00,52.00,40,#9CCC65,"67,6 M€",52 aides
Construction,62237650.00,728.00,40,#42A5F5,"62,2 M€",728 aides
Hébergement et restauration,60767664.00,780.00,40,#26A69A,"60,8 M€",780 aides
"Agriculture, sylviculture et pêche",24208117.00,448.00,40,#EF5350,"24,2 M€",448 aides
Santé humaine et action sociale,18969705.00,386.00,40,#E53935,"19,0 M€",386 aides
"Activités spécialisées, scientifiques et techniques",17395242.00,258.00,40,#FFA726,"17,4 M€",258 aides
Activités immobilières,11288984.00,137.00,40,#FFCA28,"11,3 M€",137 aides
Autres activités de services,11142141.00,297.00,40,#5E35B1,"11,1 M€",297 aides
Autres sections NAF,36277671.00,509.00,40,#AAAAAA,"36,3 M€",509 aides
Activités financières et d'assurance,103950913.00,47.00,19,#9CCC65,"104,0 M€",47 aides
Industrie manufacturière,78576806.00,231.00,19,#AB47BC,"78,6 M€",231 aides
Commerce,68958816.00,565.00,19,#29B6F6,"69,0 M€",565 aides
Construction,26750490.00,343.00,19,#42A5F5,"26,8 M€",343 aides
Hébergement et restauration,21264503.00,354.00,19,#26A69A,"21,3 M€",354 aides
"Activités spécialisées, scientifiques et techniques",13214500.00,141.00,19,#FFA726,"13,2 M€",141 aides
Santé humaine et action sociale,7415960.00,147.00,19,#E53935,"7,4 M€",147 aides
"Agriculture, sylviculture et pêche",7128765.00,104.00,19,#EF5350,"7,1 M€",104 aides
Transports et entreposage,7035016.00,53.00,19,#26C6DA,"7,0 M€",53 aides
Activités de services administratifs et de soutien,4387237.00,52.00,19,#FF7043,"4,4 M€",52 aides
Autres sections NAF,15142199.00,277.00,19,#AAAAAA,"15,1 M€",277 aides
Commerce,382348723.00,1820.00,68,#29B6F6,"382,3 M€",1 820 aides
Industrie manufacturière,192478868.00,532.00,68,#AB47BC,"192,5 M€",532 aides
Construction,161903934.00,1076.00,68,#42A5F5,"161,9 M€",1 076 aides
Hébergement et restauration,112259887.00,1099.00,68,#26A69A,"112,3 M€",1 099 aides
Activités financières et d'assurance,71902644.00,126.00,68,#9CCC65,"71,9 M€",126 aides
"Activités spécialisées, scientifiques et techniques",68153729.00,567.00,68,#FFA726,"68,2 M€",567 aides
Activités de services administratifs et de soutien,42612276.00,235.00,68,#FF7043,"42,6 M€",235 aides
Santé humaine et action sociale,36214525.00,462.00,68,#E53935,"36,2 M€",462 aides
Transports et entreposage,34037802.00,121.00,68,#26C6DA,"34,0 M€",121 aides
"Agriculture, sylviculture et pêche",33657673.00,345.00,68,#EF5350,"33,7 M€",345 aides
Autres sections NAF,63181279.00,976.00,68,#AAAAAA,"63,2 M€",976 aides
Commerce,555742882.00,2999.00,38,#29B6F6,"555,7 M€",2 999 aides
Industrie manufacturière,459916414.00,1243.00,38,#AB47BC,"459,9 M€",1 243 aides
Construction,280723957.00,2406.00,38,#42A5F5,"280,7 M€",2 406 aides
"Activités spécialisées, scientifiques et techniques",250229134.00,1223.00,38,#FFA726,"250,2 M€",1 223 aides
Activités financières et d'assurance,159109969.00,208.00,38,#9CCC65,"159,1 M€",208 aides
Hébergement et restauration,127223149.00,1856.00,38,#26A69A,"127,2 M€",1 856 aides
Activités de services administratifs et de soutien,89816318.00,570.00,38,#FF7043,"89,8 M€",570 aides
Transports et entreposage,81117512.00,414.00,38,#26C6DA,"81,1 M€",414 aides
Information et communication,68555687.00,276.00,38,#66BB6A,"68,6 M€",276 aides
Santé humaine et action sociale,52399796.00,906.00,38,#E53935,"52,4 M€",906 aides
Autres sections NAF,114488892.00,1948.00,38,#AAAAAA,"114,5 M€",1 948 aides
Commerce,511027637.00,3098.00,31,#29B6F6,"511,0 M€",3 098 aides
Industrie manufacturière,493683142.00,877.00,31,#AB47BC,"493,7 M€",877 aides
"Activités spécialisées, scientifiques et techniques",487107824.00,1837.00,31,#FFA726,"487,1 M€",1 837 aides
Construction,333095353.00,2238.00,31,#42A5F5,"333,1 M€",2 238 aides
Activités financières et d'assurance,245189353.00,302.00,31,#9CCC65,"245,2 M€",302 aides
Hébergement et restauration,165790549.00,1931.00,31,#26A69A,"165,8 M€",1 931 aides
Information et communication,128821527.00,465.00,31,#66BB6A,"128,8 M€",465 aides
Activités de services administratifs et de soutien,127366249.00,626.00,31,#FF7043,"127,4 M€",626 aides
Santé humaine et action sociale,95452837.00,1422.00,31,#E53935,"95,5 M€",1 422 aides
Transports et entreposage,71227476.00,481.00,31,#26C6DA,"71,2 M€",481 aides
Autres sections NAF,207197804.00,2284.00,31,#AAAAAA,"207,2 M€",2 284 aides
Commerce,255292065.00,1534.00,73,#29B6F6,"255,3 M€",1 534 aides
Hébergement et restauration,171990735.00,1449.00,73,#26A69A,"172,0 M€",1 449 aides
Industrie manufacturière,153760839.00,459.00,73,#AB47BC,"153,8 M€",459 aides
Construction,103786900.00,839.00,73,#42A5F5,"103,8 M€",839 aides
Transports et entreposage,80716166.00,211.00,73,#26C6DA,"80,7 M€",211 aides
"Activités spécialisées, scientifiques et techniques",73180949.00,431.00,73,#FFA726,"73,2 M€",431 aides
Activités financières et d'assurance,50577590.00,65.00,73,#9CCC65,"50,6 M€",65 aides
Activités de services administratifs et de soutien,44111722.00,307.00,73,#FF7043,"44,1 M€",307 aides
Santé humaine et action sociale,16791249.00,303.00,73,#E53935,"16,8 M€",303 aides
Activités immobilières,16268153.00,192.00,73,#FFCA28,"16,3 M€",192 aides
Autres sections NAF,62129827.00,895.00,73,#AAAAAA,"62,1 M€",895 aides
Industrie manufacturière,53428944.00,153.00,09,#AB47BC,"53,4 M€",153 aides
Commerce,48918249.00,353.00,09,#29B6F6,"48,9 M€",353 aides
Construction,20386622.00,230.00,09,#42A5F5,"20,4 M€",230 aides
Hébergement et restauration,14884805.00,248.00,09,#26A69A,"14,9 M€",248 aides
"Activités spécialisées, scientifiques et techniques",6841494.00,89.00,09,#FFA726,"6,8 M€",89 aides
Transports et entreposage,6391909.00,26.00,09,#26C6DA,"6,4 M€",26 aides
Santé humaine et action sociale,5782885.00,100.00,09,#E53935,"5,8 M€",100 aides
