libelle_section_naf,montant,nombre,color,montant_fr,nombre_fr
Commerce,32941912763.00,149448.00,#29B6F6,"32941,9 M€",149 448 aides
Industrie manufacturière,22238495989.00,47312.00,#AB47BC,"22238,5 M€",47 312 aides
"Activités spécialisées, scientifiques et techniques",14451566711.00,64177.00,#FFA726,"14451,6 M€",64 177 aides
Activités financières et d'assurance,14142520210.00,11499.00,#9CCC65,"14142,5 M€",11 499 aides
Construction,11932271642.00,89010.00,#42A5F5,"11932,3 M€",89 010 aides
Hébergement et restauration,10770682775.00,99602.00,#26A69A,"10770,7 M€",99 602 aides
Transports et entreposage,9055547393.00,23108.00,#26C6DA,"9055,5 M€",23 108 aides
Activités de services administratifs et de soutien,5597698150.00,25020.00,#FF7043,"5597,7 M€",25 020 aides
Information et communication,4723033297.00,17382.00,#66BB6A,"4723,0 M€",17 382 aides
Santé humaine et action sociale,3307066135.00,47641.00,#E53935,"3307,1 M€",47 641 aides
Autres sections NAF,9389030998.00,107407.00,#AAAAAA,"9389,0 M€",107 407 aides
