libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Commerce,2574770332.00,15967.00,93,#29B6F6,"2574,8 M€",15 967 aides
Transports et entreposage,1528397231.00,2324.00,93,#26C6DA,"1528,4 M€",2 324 aides
Hébergement et restauration,1134410610.00,11097.00,93,#26A69A,"1134,4 M€",11 097 aides
Construction,1128697485.00,8981.00,93,#42A5F5,"1128,7 M€",8 981 aides
"Activités spécialisées, scientifiques et techniques",1027029063.00,6302.00,93,#FFA726,"1027,0 M€",6 302 aides
Industrie manufacturière,944567630.00,4090.00,93,#AB47BC,"944,6 M€",4 090 aides
Activités de services administratifs et de soutien,641143245.00,2922.00,93,#FF7043,"641,1 M€",2 922 aides
Activités financières et d'assurance,561327907.00,1154.00,93,#9CCC65,"561,3 M€",1 154 aides
Santé humaine et action sociale,372168428.00,5718.00,93,#E53935,"372,2 M€",5 718 aides
Information et communication,213005774.00,1215.00,93,#66BB6A,"213,0 M€",1 215 aides
Autres sections NAF,748565483.00,10816.00,93,#AAAAAA,"748,6 M€",10 816 aides
Commerce,308735795.00,1546.00,94,#29B6F6,"308,7 M€",1 546 aides
Hébergement et restauration,154889326.00,1377.00,94,#26A69A,"154,9 M€",1 377 aides
Construction,139867057.00,953.00,94,#42A5F5,"139,9 M€",953 aides
Transports et entreposage,105148520.00,179.00,94,#26C6DA,"105,1 M€",179 aides
Industrie manufacturière,79727946.00,360.00,94,#AB47BC,"79,7 M€",360 aides
Activités de services administratifs et de soutien,40228839.00,246.00,94,#FF7043,"40,2 M€",246 aides
"Activités spécialisées, scientifiques et techniques",36695296.00,362.00,94,#FFA726,"36,7 M€",362 aides
Santé humaine et action sociale,31458539.00,301.00,94,#E53935,"31,5 M€",301 aides
Activités financières et d'assurance,18927475.00,58.00,94,#9CCC65,"18,9 M€",58 aides
"Agriculture, sylviculture et pêche",18642733.00,244.00,94,#EF5350,"18,6 M€",244 aides
Autres sections NAF,48870352.00,708.00,94,#AAAAAA,"48,9 M€",708 aides
Commerce,9928152324.00,26085.00,11,#29B6F6,"9928,2 M€",26 085 aides
Industrie manufacturière,7662850301.00,6001.00,11,#AB47BC,"7662,9 M€",6 001 aides
"Activités spécialisées, scientifiques et techniques",6422663585.00,21230.00,11,#FFA726,"6422,7 M€",21 230 aides
Activités financières et d'assurance,5136960673.00,2705.00,11,#9CCC65,"5137,0 M€",2 705 aides
Transports et entreposage,4865766684.00,7794.00,11,#26C6DA,"4865,8 M€",7 794 aides
Hébergement et restauration,3116985146.00,18732.00,11,#26A69A,"3117,0 M€",18 732 aides
Construction,2804788676.00,14195.00,11,#42A5F5,"2804,8 M€",14 195 aides
Information et communication,2774370609.00,7941.00,11,#66BB6A,"2774,4 M€",7 941 aides
Activités de services administratifs et de soutien,2075271201.00,5934.00,11,#FF7043,"2075,3 M€",5 934 aides
"Arts, spectacles et activités récréatives",918077708.00,2806.00,11,#8E24AA,"918,1 M€",2 806 aides
Autres sections NAF,2806111694.00,23193.00,11,#AAAAAA,"2806,1 M€",23 193 aides
Industrie manufacturière,1176602450.00,2314.00,52,#AB47BC,"1176,6 M€",2 314 aides
Commerce,1050845340.00,6010.00,52,#29B6F6,"1050,8 M€",6 010 aides
"Activités spécialisées, scientifiques et techniques",713356505.00,2220.00,52,#FFA726,"713,4 M€",2 220 aides
Activités financières et d'assurance,646942300.00,488.00,52,#9CCC65,"646,9 M€",488 aides
