libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Industrie manufacturière,4883439.00,87.00,63,#AB47BC,"4,9 M€",87 aides
"Arts, spectacles et activités récréatives",3174474.00,27.00,63,#8E24AA,"3,2 M€",27 aides
Commerce,3032686.00,156.00,63,#29B6F6,"3,0 M€",156 aides
Hébergement et restauration,1998356.00,155.00,63,#26A69A,"2,0 M€",155 aides
"Activités spécialisées, scientifiques et techniques",1388585.00,56.00,63,#FFA726,"1,4 M€",56 aides
Santé humaine et action sociale,1128122.00,24.00,63,#E53935,"1,1 M€",24 aides
Activités de services administratifs et de soutien,595111.00,24.00,63,#FF7043,"0,6 M€",24 aides
Construction,481677.00,47.00,63,#42A5F5,"0,5 M€",47 aides
Activités immobilières,304608.00,47.00,63,#FFCA28,"0,3 M€",47 aides
Information et communication,303498.00,17.00,63,#66BB6A,"0,3 M€",17 aides
Autres sections NAF,743046.00,80.00,63,#AAAAAA,"0,7 M€",80 aides
Industrie manufacturière,1911279.00,38.00,18,#AB47BC,"1,9 M€",38 aides
Commerce,1087457.00,45.00,18,#29B6F6,"1,1 M€",45 aides
"Activités spécialisées, scientifiques et techniques",781812.00,18.00,18,#FFA726,"0,8 M€",18 aides
Construction,435695.00,22.00,18,#42A5F5,"0,4 M€",22 aides
Activités immobilières,380057.00,29.00,18,#FFCA28,"0,4 M€",29 aides
Hébergement et restauration,371009.00,43.00,18,#26A69A,"0,4 M€",43 aides
Transports et entreposage,355959.00,9.00,18,#26C6DA,"0,4 M€",9 aides
"Agriculture, sylviculture et pêche",137467.00,4.00,18,#EF5350,"0,1 M€",4 aides
Activités financières et d'assurance,86219.00,4.00,18,#9CCC65,"0,1 M€",4 aides
Santé humaine et action sociale,46096.00,6.00,18,#E53935,"0,0 M€",6 aides
Autres sections NAF,75992.00,24.00,18,#AAAAAA,"0,1 M€",24 aides
Commerce,7725398.00,275.00,974,#29B6F6,"7,7 M€",275 aides
Industrie manufacturière,3042962.00,83.00,974,#AB47BC,"3,0 M€",83 aides
Activités financières et d'assurance,2304003.00,36.00,974,#9CCC65,"2,3 M€",36 aides
"Activités spécialisées, scientifiques et techniques",1896872.00,73.00,974,#FFA726,"1,9 M€",73 aides
"Arts, spectacles et activités récréatives",1757698.00,9.00,974,#8E24AA,"1,8 M€",9 aides
Activités immobilières,1663809.00,83.00,974,#FFCA28,"1,7 M€",83 aides
Construction,1275054.00,82.00,974,#42A5F5,"1,3 M€",82 aides
Santé humaine et action sociale,1163275.00,31.00,974,#E53935,"1,2 M€",31 aides
Hébergement et restauration,931804.00,76.00,974,#26A69A,"0,9 M€",76 aides
Activités de services administratifs et de soutien,761432.00,40.00,974,#FF7043,"0,8 M€",40 aides
Autres sections NAF,1398965.00,105.00,974,#AAAAAA,"1,4 M€",105 aides
Commerce,33828864.00,278.00,78,#29B6F6,"33,8 M€",278 aides
Activités immobilières,29284806.00,95.00,78,#FFCA28,"29,3 M€",95 aides
Industrie manufacturière,11065991.00,84.00,78,#AB47BC,"11,1 M€",84 aides
"Activités spécialisées, scientifiques et techniques",5804649.00,228.00,78,#FFA726,"5,8 M€",228 aides
Transports et entreposage,3295926.00,53.00,78,#26C6DA,"3,3 M€",53 aides
Hébergement et restauration,3226427.00,266.00,78,#26A69A,"3,2 M€",266 aides
Activités de services administratifs et de soutien,2967795.00,72.00,78,#FF7043,"3,0 M€",72 aides
Activités financières et d'assurance,2055486.00,59.00,78,#9CCC65,"2,1 M€",59 aides
Construction,1951372.00,124.00,78,#42A5F5,"2,0 M€",124 aides
Santé humaine et action sociale,1405959.00,57.00,78,#E53935,"1,4 M€",57 aides
Autres sections NAF,2758260.00,199.00,78,#AAAAAA,"2,8 M€",199 aides
Commerce,3614561.00,112.00,80,#29B6F6,"3,6 M€",112 aides
Industrie manufacturière,2519549.00,45.00,80,#AB47BC,"2,5 M€",45 aides
Construction,1240440.00,48.00,80,#42A5F5,"1,2 M€",48 aides
Activités de services administratifs et de soutien,792347.00,27.00,80,#FF7043,"0,8 M€",27 aides
"Activités spécialisées, scientifiques et techniques",671396.00,26.00,80,#FFA726,"0,7 M€",26 aides
Hébergement et restauration,629798.00,97.00,80,#26A69A,"0,6 M€",97 aides
Santé humaine et action sociale,291243.00,19.00,80,#E53935,"0,3 M€",19 aides
Activités immobilières,155721.00,31.00,80,#FFCA28,"0,2 M€",31 aides
Activités financières et d'assurance,153106.00,15.00,80,#9CCC65,"0,2 M€",15 aides
Non connu,136293.00,8.00,80,#AAAAAA,"0,1 M€",8 aides
Autres sections NAF,365153.00,53.00,80,#AAAAAA,"0,4 M€",53 aides
Commerce,2096150.00,145.00,2B,#29B6F6,"2,1 M€",145 aides
Construction,1014387.00,56.00,2B,#42A5F5,"1,0 M€",56 aides
Industrie manufacturière,943237.00,27.00,2B,#AB47BC,"0,9 M€",27 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",837421.00,8.00,2B,#7E57C2,"0,8 M€",8 aides
Hébergement et restauration,646162.00,125.00,2B,#26A69A,"0,6 M€",125 aides
Activités immobilières,414471.00,46.00,2B,#FFCA28,"0,4 M€",46 aides
Activités de services administratifs et de soutien,324568.00,19.00,2B,#FF7043,"0,3 M€",19 aides
"Activités spécialisées, scientifiques et techniques",307876.00,44.00,2B,#FFA726,"0,3 M€",44 aides
Information et communication,272199.00,8.00,2B,#66BB6A,"0,3 M€",8 aides
Non connu,178757.00,5.00,2B,#AAAAAA,"0,2 M€",5 aides
Autres sections NAF,588481.00,82.00,2B,#AAAAAA,"0,6 M€",82 aides
Industrie manufacturière,764140.00,26.00,52,#AB47BC,"0,8 M€",26 aides
Commerce,310957.00,34.00,52,#29B6F6,"0,3 M€",34 aides
"Arts, spectacles et activités récréatives",223847.00,5.00,52,#8E24AA,"0,2 M€",5 aides
Construction,189305.00,13.00,52,#42A5F5,"0,2 M€",13 aides
Activités financières et d'assurance,139371.00,6.00,52,#9CCC65,"0,1 M€",6 aides
Hébergement et restauration,96288.00,15.00,52,#26A69A,"0,1 M€",15 aides
Santé humaine et action sociale,59804.00,5.00,52,#E53935,"0,1 M€",5 aides
Activités immobilières,58823.00,7.00,52,#FFCA28,"0,1 M€",7 aides
Transports et entreposage,34687.00,5.00,52,#26C6DA,"0,0 M€",5 aides
Information et communication,26319.00,4.00,52,#66BB6A,"0,0 M€",4 aides
Autres sections NAF,56649.00,14.00,52,#AAAAAA,"0,1 M€",14 aides
Industrie manufacturière,9511880.00,45.00,40,#AB47BC,"9,5 M€",45 aides
Industries extractives,4269500.00,4.00,40,#EC407A,"4,3 M€",4 aides
Commerce,1480948.00,106.00,40,#29B6F6,"1,5 M€",106 aides
Hébergement et restauration,1057071.00,94.00,40,#26A69A,"1,1 M€",94 aides
Construction,642311.00,49.00,40,#42A5F5,"0,6 M€",49 aides
Transports et entreposage,633677.00,15.00,40,#26C6DA,"0,6 M€",15 aides
"Agriculture, sylviculture et pêche",574452.00,14.00,40,#EF5350,"0,6 M€",14 aides
Activités financières et d'assurance,566562.00,16.00,40,#9CCC65,"0,6 M€",16 aides
"Activités spécialisées, scientifiques et techniques",441639.00,26.00,40,#FFA726,"0,4 M€",26 aides
Activités immobilières,209961.00,34.00,40,#FFCA28,"0,2 M€",34 aides
Autres sections NAF,817028.00,68.00,40,#AAAAAA,"0,8 M€",68 aides
Industrie manufacturière,1788035.00,34.00,19,#AB47BC,"1,8 M€",34 aides
Commerce,991258.00,46.00,19,#29B6F6,"1,0 M€",46 aides
Construction,260484.00,21.00,19,#42A5F5,"0,3 M€",21 aides
Hébergement et restauration,159265.00,29.00,19,#26A69A,"0,2 M€",29 aides
Transports et entreposage,135712.00,6.00,19,#26C6DA,"0,1 M€",6 aides
Non connu,129159.00,6.00,19,#AAAAAA,"0,1 M€",6 aides
"Activités spécialisées, scientifiques et techniques",118420.00,15.00,19,#FFA726,"0,1 M€",15 aides
Santé humaine et action sociale,115827.00,8.00,19,#E53935,"0,1 M€",8 aides
Activités immobilières,99453.00,19.00,19,#FFCA28,"0,1 M€",19 aides
Activités de services administratifs et de soutien,91744.00,7.00,19,#FF7043,"0,1 M€",7 aides
Autres sections NAF,286827.00,21.00,19,#AAAAAA,"0,3 M€",21 aides
Industrie manufacturière,10234496.00,81.00,68,#AB47BC,"10,2 M€",81 aides
Commerce,6580127.00,220.00,68,#29B6F6,"6,6 M€",220 aides
Santé humaine et action sociale,2585621.00,40.00,68,#E53935,"2,6 M€",40 aides
Hébergement et restauration,1855773.00,179.00,68,#26A69A,"1,9 M€",179 aides
Construction,1672935.00,106.00,68,#42A5F5,"1,7 M€",106 aides
Activités financières et d'assurance,965716.00,35.00,68,#9CCC65,"1,0 M€",35 aides
Activités immobilières,916082.00,75.00,68,#FFCA28,"0,9 M€",75 aides
"Activités spécialisées, scientifiques et techniques",720633.00,67.00,68,#FFA726,"0,7 M€",67 aides
Activités de services administratifs et de soutien,541067.00,32.00,68,#FF7043,"0,5 M€",32 aides
Transports et entreposage,454016.00,19.00,68,#26C6DA,"0,5 M€",19 aides
Autres sections NAF,672263.00,99.00,68,#AAAAAA,"0,7 M€",99 aides
Commerce,9165792.00,332.00,38,#29B6F6,"9,2 M€",332 aides
"Activités spécialisées, scientifiques et techniques",6939045.00,175.00,38,#FFA726,"6,9 M€",175 aides
Industrie manufacturière,6705794.00,149.00,38,#AB47BC,"6,7 M€",149 aides
Construction,5190610.00,181.00,38,#42A5F5,"5,2 M€",181 aides
