libelle_section_naf,montant,nombre,color,montant_fr,nombre_fr
Commerce,771617455.00,18363.00,#29B6F6,"771,6 M€",18 363 aides
Industrie manufacturière,573503522.00,6615.00,#AB47BC,"573,5 M€",6 615 aides
Non connu,336976635.00,28588.00,#AAAAAA,"337,0 M€",28 588 aides
"Activités spécialisées, scientifiques et techniques",252081511.00,7904.00,#FFA726,"252,1 M€",7 904 aides
Information et communication,224168813.00,2137.00,#66BB6A,"224,2 M€",2 137 aides
Construction,210801629.00,7250.00,#42A5F5,"210,8 M€",7 250 aides
Activités financières et d'assurance,153918871.00,3278.00,#9CCC65,"153,9 M€",3 278 aides
Hébergement et restauration,153795639.00,13343.00,#26A69A,"153,8 M€",13 343 aides
Transports et entreposage,132538275.00,2683.00,#26C6DA,"132,5 M€",2 683 aides
Activités immobilières,130339210.00,5883.00,#FFCA28,"130,3 M€",5 883 aides
Autres sections NAF,356545738.00,13082.00,#AAAAAA,"356,5 M€",13 082 aides
