libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Commerce,31803362.00,1689.00,93,#29B6F6,"31,8 M€",1 689 aides
Industrie manufacturière,19780273.00,427.00,93,#AB47BC,"19,8 M€",427 aides
Hébergement et restauration,15983064.00,1382.00,93,#26A69A,"16,0 M€",1 382 aides
"Activités spécialisées, scientifiques et techniques",14608822.00,564.00,93,#FFA726,"14,6 M€",564 aides
Construction,10463094.00,681.00,93,#42A5F5,"10,5 M€",681 aides
Transports et entreposage,9998522.00,226.00,93,#26C6DA,"10,0 M€",226 aides
Activités de services administratifs et de soutien,8754238.00,400.00,93,#FF7043,"8,8 M€",400 aides
Activités financières et d'assurance,6786015.00,251.00,93,#9CCC65,"6,8 M€",251 aides
Santé humaine et action sociale,6361854.00,274.00,93,#E53935,"6,4 M€",274 aides
Activités immobilières,4962091.00,472.00,93,#FFCA28,"5,0 M€",472 aides
Autres sections NAF,11172638.00,790.00,93,#AAAAAA,"11,2 M€",790 aides
Commerce,2832832.00,183.00,94,#29B6F6,"2,8 M€",183 aides
Construction,2551164.00,76.00,94,#42A5F5,"2,6 M€",76 aides
Activités immobilières,2004155.00,63.00,94,#FFCA28,"2,0 M€",63 aides
Hébergement et restauration,1986562.00,170.00,94,#26A69A,"2,0 M€",170 aides
Industrie manufacturière,1012604.00,34.00,94,#AB47BC,"1,0 M€",34 aides
"Arts, spectacles et activités récréatives",992662.00,11.00,94,#8E24AA,"1,0 M€",11 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",837421.00,8.00,94,#7E57C2,"0,8 M€",8 aides
Transports et entreposage,780614.00,19.00,94,#26C6DA,"0,8 M€",19 aides
Activités de services administratifs et de soutien,436256.00,28.00,94,#FF7043,"0,4 M€",28 aides
Activités financières et d'assurance,373574.00,22.00,94,#9CCC65,"0,4 M€",22 aides
Autres sections NAF,1287358.00,131.00,94,#AAAAAA,"1,3 M€",131 aides
Commerce,263188215.00,3103.00,11,#29B6F6,"263,2 M€",3 103 aides
Information et communication,176375680.00,935.00,11,#66BB6A,"176,4 M€",935 aides
"Activités spécialisées, scientifiques et techniques",133840084.00,2457.00,11,#FFA726,"133,8 M€",2 457 aides
Industrie manufacturière,131117990.00,774.00,11,#AB47BC,"131,1 M€",774 aides
Activités financières et d'assurance,73438353.00,708.00,11,#9CCC65,"73,4 M€",708 aides
Activités immobilières,65674026.00,968.00,11,#FFCA28,"65,7 M€",968 aides
Transports et entreposage,63236556.00,824.00,11,#26C6DA,"63,2 M€",824 aides
Activités de services administratifs et de soutien,51987922.00,875.00,11,#FF7043,"52,0 M€",875 aides
Hébergement et restauration,50346544.00,2400.00,11,#26A69A,"50,3 M€",2 400 aides
Construction,38860332.00,1223.00,11,#42A5F5,"38,9 M€",1 223 aides
Autres sections NAF,59642495.00,2051.00,11,#AAAAAA,"59,6 M€",2 051 aides
Industrie manufacturière,38379756.00,524.00,52,#AB47BC,"38,4 M€",524 aides
Commerce,32160080.00,1016.00,52,#29B6F6,"32,2 M€",1 016 aides
Construction,8612839.00,463.00,52,#42A5F5,"8,6 M€",463 aides
Santé humaine et action sociale,7624345.00,149.00,52,#E53935,"7,6 M€",149 aides
Activités financières et d'assurance,7356378.00,241.00,52,#9CCC65,"7,4 M€",241 aides
"Activités spécialisées, scientifiques et techniques",7158975.00,432.00,52,#FFA726,"7,2 M€",432 aides
Hébergement et restauration,6291679.00,726.00,52,#26A69A,"6,3 M€",726 aides
Information et communication,4827358.00,95.00,52,#66BB6A,"4,8 M€",95 aides
Activités de services administratifs et de soutien,4151596.00,225.00,52,#FF7043,"4,2 M€",225 aides
Activités immobilières,4096673.00,374.00,52,#FFCA28,"4,1 M€",374 aides
Autres sections NAF,10550804.00,572.00,52,#AAAAAA,"10,6 M€",572 aides
Commerce,193107.00,10.00,06,#29B6F6,"0,2 M€",10 aides
Non connu,56640.00,6.00,06,#AAAAAA,"0,1 M€",6 aides
"Activités spécialisées, scientifiques et techniques",32875.00,3.00,06,#FFA726,"0,0 M€",3 aides
Activités immobilières,16009.00,3.00,06,#FFCA28,"0,0 M€",3 aides
Commerce,7725398.00,275.00,04,#29B6F6,"7,7 M€",275 aides
Industrie manufacturière,3042962.00,83.00,04,#AB47BC,"3,0 M€",83 aides
Activités financières et d'assurance,2304003.00,36.00,04,#9CCC65,"2,3 M€",36 aides
"Activités spécialisées, scientifiques et techniques",1897160.00,74.00,04,#FFA726,"1,9 M€",74 aides
"Arts, spectacles et activités récréatives",1757698.00,9.00,04,#8E24AA,"1,8 M€",9 aides
Activités immobilières,1663809.00,83.00,04,#FFCA28,"1,7 M€",83 aides
Construction,1285749.00,84.00,04,#42A5F5,"1,3 M€",84 aides
Santé humaine et action sociale,1163275.00,31.00,04,#E53935,"1,2 M€",31 aides
Hébergement et restauration,931804.00,76.00,04,#26A69A,"0,9 M€",76 aides
Activités de services administratifs et de soutien,761432.00,40.00,04,#FF7043,"0,8 M€",40 aides
Autres sections NAF,1400206.00,106.00,04,#AAAAAA,"1,4 M€",106 aides
